subgroup,n,model,auroc,auprc,sensitivity_top_decile,sensitivity_lo,sensitivity_hi,specificity_top_decile,calibration_intercept,calibration_slope,ece,window
nh_white,18711,signal_temporal,0.702245149158302,0.19169840941665373,0.30923407301360056,0.285606844155015,0.32959817560329946,0.9168303107312001,0.06674079840549033,0.24746071401807354,0.060446381004209265,full_cohort
nh_white,18711,cost_based_temporal,0.6890034578792208,0.1538347419956521,0.2619899785254116,0.2399932785660941,0.28465389593256146,0.9096684763774979,0.056330421801806876,0.8796402863905637,0.053822147511655836,full_cohort
unknown,3334,signal_temporal,0.7253948270489251,0.15101021213447652,0.392,0.31005285412262157,0.47789501550563496,0.9111872857588034,0.03324501103087479,0.25273621138420566,0.024865033407941325,full_cohort
unknown,3334,cost_based_temporal,0.6987609847304456,0.09246855124743286,0.288,0.21322848583877996,0.36975617018460927,0.9040199439077594,0.027667289970339203,0.7746009931252507,0.024808278762365993,full_cohort
hispanic,1202,signal_temporal,0.7111562029942357,0.2534211783080123,0.30337078651685395,0.22093023255813954,0.395610119047619,0.9155435759209344,0.05983057995200891,0.34869715740744694,0.06982358159706573,retained
hispanic,1202,cost_based_temporal,0.6963263575517127,0.14970432400175523,0.25842696629213485,0.16666666666666666,0.3444753086419753,0.903863432165319,0.055298583744649896,0.7703629224771443,0.04971099271249427,retained
multiracial,370,signal_temporal,0.7575710108604845,0.2791215390695799,0.2857142857142857,0.14285714285714285,0.4584821428571427,0.9152046783625731,0.06609593275002924,0.5058085803897322,0.05673621261187175,retained
multiracial,370,cost_based_temporal,0.7057748538011696,0.14923696374377388,0.17857142857142858,0.037037037037037035,0.34788043478260866,0.9064327485380117,0.056951000787874656,0.7862290337428194,0.051859873811093325,retained
nh_asian,1578,signal_temporal,0.7510451045104509,0.129768131523042,0.3492063492063492,0.24192157953281423,0.4615740740740741,0.9102310231023102,0.03805779292866321,0.10516988194709338,0.02974089327000568,retained
nh_asian,1578,cost_based_temporal,0.7351354183037352,0.10252729196112059,0.3492063492063492,0.22579509313948204,0.4583749999999999,0.8950495049504951,0.026346695641606466,0.9755593205862947,0.026006544693366537,retained
nh_black,8987,signal_temporal,0.7078544251020106,0.2594321251904502,0.33022170361726955,0.30499998106055826,0.3580874327294778,0.9242312423124232,0.08613719405100566,0.3526165136857231,0.06920472212824838,retained
nh_black,8987,cost_based_temporal,0.6969710408889387,0.19858473294756296,0.2847141190198366,0.24971841907335549,0.3112216607439768,0.9119311193111931,0.07506345321505944,1.0905147815737284,0.07674810188468129,retained
nh_nhpi,379,signal_temporal,0.8680225988700565,0.3257204227576909,0.44,0.27024428274428275,0.6296296296296297,0.923728813559322,0.05161459306013242,0.4944294787762926,0.03694280958489681,retained
nh_nhpi,379,cost_based_temporal,0.8183050847457627,0.21158434322577063,0.24,0.07407407407407407,0.457172619047619,0.8954802259887006,0.038748485011767,1.6247041930927921,0.049212580327838706,retained
nh_white,14112,signal_temporal,0.7038328901903566,0.20269960019796435,0.3043095866314864,0.28204545454545454,0.32772656842357556,0.9178420038535645,0.07217116303056423,0.2543699725070894,0.06450013452557231,retained
nh_white,14112,cost_based_temporal,0.6892864466033897,0.16028419058979015,0.25769569041336854,0.23002590503957146,0.278419556459204,0.9075144508670521,0.06169752562099856,0.8788476382199605,0.059095923502966816,retained
unknown,2428,signal_temporal,0.7208976281141231,0.1418918410910703,0.36082474226804123,0.2754645542427497,0.45633908283412516,0.9107679107679107,0.036424962290983735,0.2138672374499683,0.027565340041594742,retained
unknown,2428,cost_based_temporal,0.6999540040777155,0.09274646120932258,0.29896907216494845,0.20786983110075713,0.3884622052704576,0.9004719004719005,0.030690678788922794,0.6872542502334852,0.026476818074841136,retained
hispanic,628,signal_temporal,0.7060913355408388,0.14701223416188652,0.3333333333333333,0.1665,0.521790890269151,0.9089403973509934,0.03635901155500734,0.05073365389618675,0.04930396880657499,disenrolled
hispanic,628,cost_based_temporal,0.7268556843267108,0.17237960377353137,0.5,0.30434782608695654,0.6842105263157895,0.9139072847682119,0.02437377355099759,0.6746617678292328,0.021588076835930614,disenrolled
multiracial,165,signal_temporal,0.5787037037037037,0.1666292555181444,0.3333333333333333,0.0,0.6674999999999992,0.9102564102564102,0.050623234342435354,0.09250862623952373,0.06054462078189482,disenrolled
multiracial,165,cost_based_temporal,0.6264245014245013,0.17805905514238848,0.4444444444444444,0.125,0.7783333333333329,0.9166666666666666,0.01916164854319062,1.5663806803441223,0.04508324350221583,disenrolled
nh_asian,719,signal_temporal,0.7274812030075187,0.17948901462962455,0.47368421052631576,0.25,0.6956521739130435,0.91,0.0212054238759887,0.31262214123186327,0.018057207229458007,disenrolled
nh_asian,719,cost_based_temporal,0.6835714285714286,0.11735189607183279,0.21052631578947367,0.047619047619047616,0.4166666666666667,0.8914285714285715,0.013176527625260457,1.091035486315865,0.017096648287311646,disenrolled
nh_black,2710,signal_temporal,0.7087195670477027,0.21747069284502457,0.3316062176165803,0.2713525253385572,0.3932799074686054,0.9177592371871275,0.06260504898272012,0.3112764325958139,0.05160903413169632,disenrolled
nh_black,2710,cost_based_temporal,0.6895916060941041,0.20009020734424676,0.3160621761658031,0.2628858615611193,0.3880347860855657,0.9153754469606674,0.0474937598913561,1.3028316704597138,0.0530081822557356,disenrolled
nh_nhpi,232,signal_temporal,0.8203125,0.2451246000168414,0.375,0.0,0.875,0.90625,0.03138409879355268,0.07990608768645302,0.04735894536298506,disenrolled
nh_nhpi,232,cost_based_temporal,0.767578125,0.13006792058516195,0.125,0.0,0.5,0.8883928571428571,0.01816147670993429,0.887031447253423,0.03168870110399345,disenrolled
nh_white,4599,signal_temporal,0.6862361940893862,0.15571569530211987,0.3153846153846154,0.26571969696969694,0.37037037037037035,0.9128831528001844,0.05014824384104418,0.22081787714175133,0.04974687218696348,disenrolled
nh_white,4599,cost_based_temporal,0.6807005336217136,0.13594659839402576,0.29615384615384616,0.2462657864523536,0.35055982918700157,0.9087347315049551,0.04024372520831682,0.7600358580952957,0.03510042997833349,disenrolled
unknown,906,signal_temporal,0.7364952814838921,0.1988903481518613,0.4642857142857143,0.2855714285714286,0.6452087286527514,0.9111617312072893,0.024712970616398492,0.3505063982849643,0.019835914096635657,disenrolled
unknown,906,cost_based_temporal,0.6885575984380085,0.11899170195644461,0.25,0.12490530303030303,0.46893601190476175,0.9020501138952164,0.01868151941784656,1.0195995204075865,0.01998097880620196,disenrolled
