race_ethnicity,non_metro,detection_shift_sd,certification_shift_sd,predicted_to_actual_ratio_mean,predicted_to_actual_ratio_lower,predicted_to_actual_ratio_upper
nh_white,True,0.0,1.0,0.6563376984514262,0.6394080612576515,0.6743661995931218
nh_black,False,0.0,1.0,0.6027068545426119,0.5860440614225264,0.6184028286142657
nh_black,True,0.0,1.0,0.5595910788464563,0.5460810585674927,0.5744158082589932
hispanic,False,0.0,1.0,0.6228490536471655,0.6052205712439842,0.6397592475296304
hispanic,True,0.0,1.0,0.5774330574109883,0.5614215470373289,0.5924640908537744
nh_aian,False,0.0,1.0,0.5615259948932741,0.5445697373244318,0.5772289645489906
nh_aian,True,0.0,1.0,0.5241091511774173,0.5093437429149716,0.5389458029709694
nh_asian,False,0.0,1.0,0.6863632213703332,0.6708803342690671,0.7009759924461259
nh_asian,True,0.0,1.0,0.6350986846593791,0.6202276082179525,0.6504864641118902
multiracial,False,0.0,1.0,0.653304006498604,0.6359295287279975,0.6707100044543519
multiracial,True,0.0,1.0,0.6048745434135687,0.5874693388550932,0.6209313960733895
nh_white,False,1.0,-1.0,0.6927971122604066,0.6770185275347952,0.7081599253383062
nh_white,True,1.0,-1.0,0.6411606311851047,0.6235780859671886,0.6588299108066635
nh_black,False,1.0,-1.0,0.5826049263109339,0.5646293346114974,0.5983200556657827
nh_black,True,1.0,-1.0,0.5434179528230726,0.5300350049601545,0.5558197889108752
hispanic,False,1.0,-1.0,0.6014707893742618,0.5845540043194807,0.6175940105234364
hispanic,True,1.0,-1.0,0.5591719163731129,0.54344080870966,0.5742338159418128
nh_aian,False,1.0,-1.0,0.5402637089304982,0.5253404074498419,0.5564397811861121
nh_aian,True,1.0,-1.0,0.5047661880665818,0.4921446767829527,0.5182237055630454
nh_asian,False,1.0,-1.0,0.6699880611467184,0.6541068796051723,0.6858202052655843
nh_asian,True,1.0,-1.0,0.6214481639087648,0.6068470348586469,0.6361298537738472
multiracial,False,1.0,-1.0,0.6344170553176381,0.6171179711234337,0.6526085560888626
multiracial,True,1.0,-1.0,0.5886577649284505,0.5735108321680821,0.6040895419481369
nh_white,False,1.0,0.0,0.7120014730173462,0.6963005300169026,0.7274484585956292
nh_white,True,1.0,0.0,0.6585448795853948,0.6410951767761155,0.6759896580626714
nh_black,False,1.0,0.0,0.6012606085961548,0.584722468405237,0.6176893545151654
nh_black,True,1.0,0.0,0.5595456188341836,0.5461268316365168,0.5729702414150184
hispanic,False,1.0,0.0,0.6211881241377768,0.6045933430235935,0.6393447935115729
hispanic,True,1.0,0.0,0.5766290551862503,0.5621976311928842,0.5909296170704326
nh_aian,False,1.0,0.0,0.559849005707269,0.5433190918094175,0.576581224146688
nh_aian,True,1.0,0.0,0.5223578317191095,0.5083606058757449,0.5354104231177065
nh_asian,False,1.0,0.0,0.6887802627534562,0.671849302254978,0.7042269715607413
nh_asian,True,1.0,0.0,0.6378698467818009,0.6239050557219336,0.6523579742872981
multiracial,False,1.0,0.0,0.6557348524150522,0.6383497613025747,0.6748114344195888
multiracial,True,1.0,0.0,0.6076006877936221,0.5916713333641661,0.623512546466556
nh_white,False,1.0,1.0,0.7311085601539731,0.7138296611440058,0.7473036104413057
nh_white,True,1.0,1.0,0.6761402464264813,0.6577679214135876,0.6934643994657668
nh_black,False,1.0,1.0,0.6200866365105109,0.6032181042543702,0.6360014241049108
nh_black,True,1.0,1.0,0.5759683806732856,0.5620761852112419,0.5902372618747641
hispanic,False,1.0,1.0,0.6411685569634339,0.6238002709709578,0.659065746149404
hispanic,True,1.0,1.0,0.5941849981528272,0.5768739626497945,0.6082841731885628
nh_aian,False,1.0,1.0,0.5801353318848684,0.5626013893491396,0.5962697920358855
nh_aian,True,1.0,1.0,0.5407356630034333,0.5248273317586012,0.5552234406948497
nh_asian,False,1.0,1.0,0.7069288749888665,0.6904909972119321,0.7223255711810093
nh_asian,True,1.0,1.0,0.6543141780749573,0.6400207398683025,0.6700726615270427
multiracial,False,1.0,1.0,0.6768829287889946,0.6594364713373811,0.696321889752031
multiracial,True,1.0,1.0,0.626265399302617,0.6102146572821707,0.6413461563851475
