subgroup,n,model,auroc,auroc_lo,auroc_hi,auprc,sensitivity_top_decile,sensitivity_lo,sensitivity_hi,specificity_top_decile,calibration_intercept,calibration_slope,ece,window
unknown,1016,cost_based,0.6710101566805763,0.5791115769152084,0.7633332450544752,0.11479773962861012,0.28205128205128205,0.14285714285714285,0.425,0.9027635619242579,0.02641814598710007,1.0335289125540381,0.026806391848077815,full_test_cohort
hispanic,389,signal_retrained,0.7168319169027385,0.6190370720789719,0.8149077313404645,0.2851843592264632,0.3333333333333333,0.18181818181818182,0.47368421052631576,0.9235127478753541,0.027765991770058576,0.9807713526068663,0.03613519665227298,test_retained
hispanic,389,cost_based,0.7060513062637709,0.6210698959764244,0.7969343984888759,0.20495389316335683,0.25,0.10803698435277384,0.3939393939393939,0.9065155807365439,0.06437959481836114,1.0456574847224012,0.06560940571601391,test_retained
multiracial,102,signal_retrained,0.5478723404255319,0.33599131347842687,0.7461233008274231,0.11509508363048071,0.125,0.0,0.4,0.8936170212765957,0.07631079243134772,0.03465767088392757,0.06554457512410247,test_retained
multiracial,102,cost_based,0.632313829787234,0.4208610541505278,0.8229452537593984,0.12443701873461936,0.125,0.0,0.5555555555555556,0.8829787234042553,0.06931287350922519,0.47913567681828895,0.06596020761245674,test_retained
nh_asian,508,signal_retrained,0.8025033602150538,0.6561758461705922,0.9188853793635726,0.09078568905961752,0.4166666666666667,0.1535714285714286,0.7,0.907258064516129,0.00018022811931669644,0.3869475687136796,0.036959336437174944,test_retained
nh_asian,508,cost_based,0.7453797043010753,0.5713440151735977,0.8867532258434031,0.08493297580511291,0.3333333333333333,0.09071969696969698,0.6434523809523804,0.8911290322580645,0.018137577249286524,0.3709359402851616,0.011963003705419176,test_retained
nh_black,2729,signal_retrained,0.7113203078187597,0.6751536554543005,0.7440062632803189,0.2542096796567499,0.3023255813953488,0.25190839694656486,0.35714285714285715,0.9210845811412384,0.019698425710689818,0.8577771732241555,0.014594610962032526,test_retained
nh_black,2729,cost_based,0.6789886716924071,0.6439983862981083,0.7120754441721376,0.17628936465874995,0.2441860465116279,0.19830047354521446,0.29056603773584905,0.9105625252934035,0.0786059273859922,0.807686654773738,0.07481193283469488,test_retained
nh_nhpi,108,signal_retrained,0.8925035360678925,0.8102501256913022,0.9572815533980582,0.28672125330041465,0.42857142857142855,0.0,1.0,0.9207920792079208,-0.011262954397261743,1.1998943987165385,0.04451221153485003,test_retained
nh_nhpi,108,cost_based,0.7461103253182462,0.6019071601941747,0.861111111111111,0.1396385252322534,0.14285714285714285,0.0,0.5,0.8910891089108911,0.052684256120844083,0.6112303468166106,0.050619553376906316,test_retained
nh_white,4190,signal_retrained,0.732470206264324,0.7031376074124289,0.760641354720057,0.24115504959376072,0.3205882352941177,0.27376266756670214,0.3622337772975669,0.9194805194805195,0.017850305485331314,0.8193232653569001,0.009906543434546422,test_retained
nh_white,4190,cost_based,0.6909992360580597,0.6596659813420371,0.7191447333480121,0.16179044651257302,0.2529411764705882,0.21147609156955832,0.3002839324646352,0.9106493506493506,0.06315613165089658,0.791805502649604,0.05842604941738032,test_retained
unknown,741,signal_retrained,0.762259728082513,0.6609271704771065,0.8518110109627486,0.2969710922866693,0.43333333333333335,0.2413793103448276,0.6089544513457555,0.9127988748241913,-0.024645567912744436,1.093608472388921,0.02237915129346745,test_retained
unknown,741,cost_based,0.6709798406000937,0.5753696822837069,0.7700911247069493,0.09626614546566065,0.26666666666666666,0.12,0.41379310344827586,0.8959212376933896,0.03225656405005092,0.6828427346991094,0.02843434944828134,test_retained
hispanic,175,signal_retrained,0.6760374832663989,0.43692780748663096,0.8944832718284361,0.1718662262216732,0.3333333333333333,0.0,0.6924999999999998,0.9096385542168675,0.016265790870496614,0.5304596833540068,0.03642987978777715,test_disenrolled
hispanic,175,cost_based,0.8115796519410977,0.6190702231899837,0.9637182838138983,0.35439723856390526,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.9216867469879518,0.034133102933036966,0.6528191539981143,0.027555053642010163,test_disenrolled
multiracial,71,signal_retrained,0.2941176470588235,0.02857142857142858,0.782608695652174,0.04364106753812636,0.0,0.0,0.0,0.8823529411764706,0.05651359414942917,-0.21512110671051585,0.0900292400480576,test_disenrolled
multiracial,71,cost_based,0.4607843137254901,0.15000000000000002,0.8714285714285714,0.05575117370892019,0.0,0.0,0.6666666666666666,0.8823529411764706,0.04851323353468149,-0.3063847792465494,0.052107109057507095,test_disenrolled
nh_asian,201,signal_retrained,0.7563657407407407,0.5525948285906188,0.9359661382229795,0.39050876471420587,0.5555555555555556,0.125,0.8571428571428571,0.9166666666666666,-0.019589853571923395,1.079529189602237,0.025453463226871854,test_disenrolled
nh_asian,201,cost_based,0.785011574074074,0.6102680026067123,0.9086226851851851,0.17155492623816274,0.2222222222222222,0.0,0.6666666666666666,0.9010416666666666,0.01758236626427254,2.5608961636350895,0.037146284388335005,test_disenrolled
nh_black,825,signal_retrained,0.7238412595207133,0.6473109942708688,0.796425142974027,0.22805045965366552,0.375,0.25862068965517243,0.5,0.9193758127438232,0.009039424022522655,0.7419017630573321,0.022832085021743276,test_disenrolled
nh_black,825,cost_based,0.7253390302805127,0.645890827077156,0.8027136368688846,0.24668946701939914,0.39285714285714285,0.28357587064676615,0.5319148936170213,0.9154746423927178,0.039449719587332135,1.486437194171869,0.04875314408911248,test_disenrolled
nh_nhpi,73,signal_retrained,0.8476190476190476,0.7042253521126761,1.0,0.42300194931773877,0.3333333333333333,0.0,1.0,0.9,-0.03254508415057138,1.1690488826601644,0.060817292795758954,test_disenrolled
nh_nhpi,73,cost_based,0.7785714285714286,0.646844362745098,0.8908928571428569,0.1048148148148148,0.0,0.0,0.6666666666666666,0.8714285714285714,0.03521494027367323,0.2629909638874796,0.0473225404732254,test_disenrolled
nh_white,1318,signal_retrained,0.7452008542419796,0.6763751509582613,0.8027276298349525,0.2094534529182303,0.44776119402985076,0.31247438524590165,0.5373421354764638,0.9152677857713829,0.0008763120905702568,0.6739119012412282,0.029189895728090005,test_disenrolled
nh_white,1318,cost_based,0.6889115573213072,0.608842570420964,0.7577351385394553,0.138892026182789,0.2835820895522388,0.17543859649122806,0.3880984686954836,0.903277378097522,0.03324937120084744,0.7466086294362895,0.027281124233027643,test_disenrolled
unknown,275,signal_retrained,0.6382623224728488,0.39627502369106843,0.8829592130181664,0.28491418734973434,0.4444444444444444,0.125,0.8,0.9097744360902256,-0.0137721882727335,0.7797393070287223,0.045577837884087466,test_disenrolled
unknown,275,cost_based,0.6574770258980785,0.41174839302112026,0.8753464155472951,0.2267147667147667,0.4444444444444444,0.09942307692307696,0.8333333333333334,0.9022556390977443,0.013349932814696357,1.7486101484014283,0.023916636722960835,test_disenrolled
